"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geoData";
"7";"«Дербеневская наб.», 3-й Дербеневский переулок (7)";"37.6551636";"55.72566817";"3-й Дербеневский переулок";"Южный административный округ";"Даниловский район";"А13; А632";"Дербеневская наб.";"";"да";"ГУП «Мосгортранс»";"активна";"889076457";"{type=Point, coordinates=[37.6551636, 55.72566817]}";
"11";"«Наб. Тараса Шевченко», набережная Тараса Шевченко (11)";"37.57240854";"55.74944352";"набережная Тараса Шевченко";"Западный административный округ";"район Дорогомилово";"А91";"Наб. Тараса Шевченко";"";"да";"ЗАО «Валль-СНГ»";"активна";"889076459";"{type=Point, coordinates=[37.57240854, 55.74944352]}";
"12";"«Наб. Тараса Шевченко», набережная Тараса Шевченко (12)";"37.57271647";"55.74976112";"набережная Тараса Шевченко";"Западный административный округ";"район Дорогомилово";"А157; А474; А840; А91";"Наб. Тараса Шевченко";"";"да";"ЗАО «Валль-СНГ»";"активна";"889076460";"{type=Point, coordinates=[37.57271647, 55.74976112]}";
"27";"«ВКНЦ», 3-я Черепковская улица (27)";"37.37550932";"55.7572642";"3-я Черепковская улица";"Западный административный округ";"район Кунцево";"А660; А798; А816";"ВКНЦ";"";"да";"ГУП «Мосгортранс»";"активна";"889076461";"{type=Point, coordinates=[37.37550932, 55.7572642]}";
"33";"«Новосущевская ул.», улица Сущёвский Вал (33)";"37.60337594";"55.79289095";"улица Сущёвский Вал";"Северо-Восточный административный округ";"район Марьина Роща";"А126; А384; Тб42; А84; А84К; АТ18";"Новосущевская ул.";"";"да";"ЗАО «Валль-СНГ»";"активна";"889076463";"{type=Point, coordinates=[37.60337594, 55.79289095]}";
"35";"«Керамический пр.», Дубнинская улица (35)";"37.55724554";"55.89460802";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А167; А179; А677; А677К; А799";"Керамический пр.";"";"да";"ГУП «Мосгортранс»";"активна";"889076464";"{type=Point, coordinates=[37.55724554, 55.89460802]}";
"36";"«Ин-т Стали», Дубнинская улица (36)";"37.55729147";"55.89142924";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А167; А179; А677; А677К; А799";"Ин-т Стали";"";"да";"ГУП «Мосгортранс»";"активна";"889076465";"{type=Point, coordinates=[37.55729147, 55.89142924]}";
"37";"«Мкр. Дубки», Дубнинская улица (37)";"37.55730686";"55.88768746";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А167; А179; А677; А677К; А799";"Мкр. Дубки";"";"да";"ГУП «Мосгортранс»";"активна";"889076466";"{type=Point, coordinates=[37.55730686, 55.88768746]}";
"38";"«Д/к Юность», Дубнинская улица (38)";"37.5573643949";"55.8833589241";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А167; А179; А677; А677К; А799";"Д/к Юность";"";"да";"ГУП «Мосгортранс»";"активна";"889076467";"{type=Point, coordinates=[37.5573643949, 55.8833589241]}";
"39";"«Баскетбольная школа», улица 800-летия Москвы (39)";"37.55636146";"55.88011364";"улица 800-летия Москвы";"Северный административный округ";"район Восточное Дегунино";"А149; А167; А179; А748; А799; А857";"Баскетбольная школа";"";"да";"ГУП «Мосгортранс»";"активна";"889076469";"{type=Point, coordinates=[37.55636146, 55.88011364]}";
"40";"«Ул. 800-летия Москвы», Дмитровское шоссе (40)";"37.54599654";"55.87767168";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А63; А763; А763К; А843; А994; АТ78";"Ул. 800-летия Москвы";"";"нет";"";"активна";"889076470";"{type=Point, coordinates=[37.54599654, 55.87767168]}";
"41";"«Бескудниково», Дмитровское шоссе (41)";"37.54704248";"55.87458982";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А63; А763; А763К; А843; А994; АТ78";"Бескудниково";"";"да";"ГУП «Мосгортранс»";"активна";"889076471";"{type=Point, coordinates=[37.54704248, 55.87458982]}";
"42";"«Селигерская ул.», Дмитровское шоссе (42)";"37.54674812";"55.86919544";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А206к; А63; А763; А763К";"Селигерская ул.";"";"нет";"";"активна";"889076472";"{type=Point, coordinates=[37.54674812, 55.86919544]}";
"43";"«Парк Святослава Федорова», Дмитровское шоссе (43)";"37.54848949";"55.86333482";"Дмитровское шоссе";"Северный административный округ";"район Западное Дегунино";"А179; А194; А206к; А215; А591; А63; А763; А763К; А843; А994; АТ56; АТ78";"Парк Святослава Федорова";"";"нет";"";"активна";"889076473";"{type=Point, coordinates=[37.54848949, 55.86333482]}";
"44";"«Ильменский пр.», Дмитровское шоссе (44)";"37.55318989";"55.86077256";"Дмитровское шоссе";"Северный административный округ";"район Западное Дегунино";"А179; А194; А206к; А215; А591; А63; А763; А763К; А843; А994; АТ56; АТ78";"Ильменский пр.";"";"да";"ГУП «Мосгортранс»";"активна";"889076475";"{type=Point, coordinates=[37.55318989, 55.86077256]}";
"45";"«Метро Верхние Лихоборы - Северный вестибюль», Дмитровское шоссе (45)";"37.55826147";"55.85821217";"Дмитровское шоссе";"Северный административный округ";"район Западное Дегунино";"А179; А194; А206к; А215; А591; А63; А763; А763К; А843; А994; АТ56; АТ78";"Метро Верхние Лихоборы - Северный вестибюль";"";"да";"ГУП «Мосгортранс»";"активна";"889076476";"{type=Point, coordinates=[37.55826147, 55.85821217]}";
"46";"«7-й автобусный парк», Дмитровское шоссе (46)";"37.56585131";"55.85033933";"Дмитровское шоссе";"Северный административный округ";"район Западное Дегунино";"А114; А154; А179; А194; А206к; А215; А282; А466; А591; А63; А677; А677К; А692; А82";"7-й автобусный парк";"";"да";"ГУП «Мосгортранс»";"активна";"889076477";"{type=Point, coordinates=[37.56585131, 55.85033933]}";
"47";"«Нижн. Лихоборы», Дмитровское шоссе (47)";"37.5673105";"55.84733792";"Дмитровское шоссе";"Северный административный округ";"Тимирязевский район";"А114; А179; А194; А215; А282; А692; А82";"Нижн. Лихоборы";"";"да";"ГУП «Мосгортранс»";"активна";"889076478";"{type=Point, coordinates=[37.5673105, 55.84733792]}";
"48";"«Метро Петровско-Разумовская», Локомотивный проезд (48)";"37.57585651";"55.83716907";"Локомотивный проезд";"Северный административный округ";"Тимирязевский район";"А114; А204; А282; А461; АТ19";"Метро Петровско-Разумовская";"";"да";"ГУП «Мосгортранс»";"активна";"889076479";"{type=Point, coordinates=[37.57585651, 55.83716907]}";
"49";"«К/т Байкал», Большая Академическая улица (49)";"37.53956854";"55.83714435";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А114; А179; А204; А282; А300; А461; Тб57; А591; АТ19";"К/т Байкал";"";"да";"ГУП «Мосгортранс»";"активна";"889076480";"{type=Point, coordinates=[37.53956854, 55.83714435]}";
"50";"«Стадион Наука», Большая Академическая улица (50)";"37.5328525";"55.83295208";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А114; А179; А204; А282; А461; Тб57; А591; АТ19";"Стадион Наука";"";"да";"ГУП «Мосгортранс»";"активна";"889076481";"{type=Point, coordinates=[37.5328525, 55.83295208]}";
"51";"«Управа района Коптево», улица Зои и Александра Космодемьянских (51)";"37.52242762";"55.82411549";"улица Зои и Александра Космодемьянских";"Северный административный округ";"район Коптево";"А179; А204; А282; А591; А780";"Управа района Коптево";"";"да";"ГУП «Мосгортранс»";"активна";"889076483";"{type=Point, coordinates=[37.52242762, 55.82411549]}";
"52";"«К/т Рассвет», улица Зои и Александра Космодемьянских (52)";"37.51887274";"55.82307265";"улица Зои и Александра Космодемьянских";"Северный административный округ";"район Коптево";"А179; А204; А282; А591; А780";"К/т Рассвет";"";"да";"ГУП «Мосгортранс»";"активна";"889076484";"{type=Point, coordinates=[37.51887274, 55.82307265]}";
"53";"«3-й Новоподмосковный пер.», улица Зои и Александра Космодемьянских (53)";"37.51084692";"55.82093531";"улица Зои и Александра Космодемьянских";"Северный административный округ";"Войковский район";"А179; А204; А282; А591; А780";"3-й Новоподмосковный пер.";"";"нет";"";"активна";"889076485";"{type=Point, coordinates=[37.51084692, 55.82093531]}";
"54";"«3-й Новоподмосковный пер.», улица Зои и Александра Космодемьянских (54)";"37.51203859";"55.8210445";"улица Зои и Александра Космодемьянских";"Северный административный округ";"Войковский район";"А179; А204; А282; А591; А780";"3-й Новоподмосковный пер.";"";"да";"ГУП «Мосгортранс»";"активна";"889076486";"{type=Point, coordinates=[37.51203859, 55.8210445]}";
"55";"«К/т Рассвет», улица Зои и Александра Космодемьянских (55)";"37.51687828";"55.82237098";"улица Зои и Александра Космодемьянских";"Северный административный округ";"Войковский район";"А179; А204; А282; А591; А780";"К/т Рассвет";"";"да";"ГУП «Мосгортранс»";"активна";"889076487";"{type=Point, coordinates=[37.51687828, 55.82237098]}";
"56";"«Управа района Коптево», улица Зои и Александра Космодемьянских (56)";"37.52300938";"55.82398759";"улица Зои и Александра Космодемьянских";"Северный административный округ";"район Коптево";"А179; А204; А282; А591; А780";"Управа района Коптево";"";"нет";"";"активна";"889076488";"{type=Point, coordinates=[37.52300938, 55.82398759]}";
"57";"«Стадион Наука», Большая Академическая улица (57)";"37.53338601";"55.83304516";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А114; А179; А204; А282; А461; Тб57; А591; АТ19";"Стадион Наука";"";"да";"ГУП «Мосгортранс»";"активна";"889076489";"{type=Point, coordinates=[37.53338601, 55.83304516]}";
"61";"«7-й автобусный парк», Дмитровское шоссе (61)";"37.56536026";"55.85188534";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А194; А206к; А215; А282; А591; А63; А994";"7-й автобусный парк";"";"нет";"";"активна";"889076490";"{type=Point, coordinates=[37.56536026, 55.85188534]}";
"62";"«Метро Верхние Лихоборы - Северный вестибюль», Дмитровское шоссе (62)";"37.55947707";"55.8580184";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А194; А206к; А215; Тб36; А591; А63; А763; А763К; А799; А843; А994; АТ47; АТ56; АТ78";"Метро Верхние Лихоборы - Северный вестибюль";"";"да";"ГУП «Мосгортранс»";"активна";"889076491";"{type=Point, coordinates=[37.55947707, 55.8580184]}";
"63";"«Ильменский пр.», Дмитровское шоссе (63)";"37.5540423";"55.86090628";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А194; А206к; А215; Тб36; А591; А63; А763; А763К; А799; А843; А994; АТ47; АТ56; АТ78";"Ильменский пр.";"";"да";"ГУП «Мосгортранс»";"активна";"889076492";"{type=Point, coordinates=[37.5540423, 55.86090628]}";
"64";"«Парк Святослава Федорова», Дмитровское шоссе (64)";"37.54946654";"55.8634774";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А194; А206к; А215; А591; А63; А763; А763К; А799; А843; А994; АТ56; АТ78";"Парк Святослава Федорова";"";"да";"ГУП «Мосгортранс»";"активна";"889076493";"{type=Point, coordinates=[37.54946654, 55.8634774]}";
"65";"«Селигерская ул.», Дмитровское шоссе (65)";"37.54748211";"55.86854848";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А206к; А63; А763; А763К; А799; А843; А994; АТ78";"Селигерская ул.";"";"нет";"";"активна";"889076494";"{type=Point, coordinates=[37.54748211, 55.86854848]}";
"66";"«Бескудниково», Дмитровское шоссе (66)";"37.54811496";"55.87427208";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А63; А763; А763К; А799; А843; А994; АТ78";"Бескудниково";"";"да";"ГУП «Мосгортранс»";"активна";"889076495";"{type=Point, coordinates=[37.54811496, 55.87427208]}";
"67";"«Баскетбольная школа», Дубнинская улица (67)";"37.55775278";"55.88068293";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А167; А179; А677; А677К; А799";"Баскетбольная школа";"";"да";"ГУП «Мосгортранс»";"активна";"889076496";"{type=Point, coordinates=[37.55775278, 55.88068293]}";
"68";"«Д/к Юность», Дубнинская улица (68)";"37.5577084088";"55.8843275315";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А167; А179; А677; А677К; А799";"Д/к Юность";"";"да";"ГУП «Мосгортранс»";"активна";"889076497";"{type=Point, coordinates=[37.5577084088, 55.8843275315]}";
"69";"«Мкр. Дубки», Дубнинская улица (69)";"37.5576739643";"55.8881514089";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А167; А179; А677; А677К; А799";"Мкр. Дубки";"";"да";"ГУП «Мосгортранс»";"активна";"889076498";"{type=Point, coordinates=[37.5576739643, 55.8881514089]}";
"70";"«Ин-т Стали», Дубнинская улица (70)";"37.55762874";"55.89221605";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А167; А179; А677; А677К; А799";"Ин-т Стали";"";"да";"ГУП «Мосгортранс»";"активна";"889076499";"{type=Point, coordinates=[37.55762874, 55.89221605]}";
"71";"«Керамический пр.», Дубнинская улица (71)";"37.5575677861";"55.8935280894";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А167; А179; А677; А677К; А799";"Керамический пр.";"";"да";"ГУП «Мосгортранс»";"активна";"889076500";"{type=Point, coordinates=[37.5575677861, 55.8935280894]}";
"72";"«Платф. Лианозово», Дубнинская улица (72)";"37.55445131";"55.89652393";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А167; А179; А677; А677К; А799";"Платф. Лианозово";"";"нет";"";"активна";"889076501";"{type=Point, coordinates=[37.55445131, 55.89652393]}";
"73";"«Ст. Ховрино», Ангарская улица (73)";"37.51160056";"55.86956661";"Ангарская улица";"Северный административный округ";"район Западное Дегунино";"А154; А191; А215; А215К; А270; А352; А571; А591; А665; А748; А928";"Ст. Ховрино";"";"да";"ГУП «Мосгортранс»";"активна";"889076502";"{type=Point, coordinates=[37.51160056, 55.86956661]}";
"74";"«Весенняя ул.», Ангарская улица (74)";"37.51459808";"55.87376954";"Ангарская улица";"Северный административный округ";"район Западное Дегунино";"А191; А270; А352; А571; А591; А665; А928";"Весенняя ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076503";"{type=Point, coordinates=[37.51459808, 55.87376954]}";
"75";"«Мкр. Западное Дегунино», Ангарская улица (75)";"37.5174212";"55.87606574";"Ангарская улица";"Северный административный округ";"район Западное Дегунино";"А191; А270; А352; А571; А591; А665; А928";"Мкр. Западное Дегунино";"";"да";"ГУП «Мосгортранс»";"активна";"889076504";"{type=Point, coordinates=[37.5174212, 55.87606574]}";
"76";"«Ангарская ул.», Коровинское шоссе (76)";"37.52218296";"55.87921929";"Коровинское шоссе";"Северный административный округ";"Дмитровский район";"А114; А191; А270; А352; А571; А656; А665; А799; АТ56";"Ангарская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076505";"{type=Point, coordinates=[37.52218296, 55.87921929]}";
"77";"«Колледж № 7», Клязьминская улица (77)";"37.52067236";"55.88456731";"Клязьминская улица";"Северный административный округ";"Дмитровский район";"А191; А194; А200; А352; А571; А665";"Колледж № 7";"";"да";"ГУП «Мосгортранс»";"активна";"889076506";"{type=Point, coordinates=[37.52067236, 55.88456731]}";
"78";"«Ин-т Микрохирургии глаза», Коровинское шоссе (78)";"37.53738746";"55.86877206";"Коровинское шоссе";"Северный административный округ";"район Западное Дегунино";"А191; А194; А215К; А591; А656; А672; АТ56";"Ин-т Микрохирургии глаза";"";"да";"ГУП «Мосгортранс»";"активна";"889076507";"{type=Point, coordinates=[37.53738746, 55.86877206]}";
"79";"«Селигерская ул.», Коровинское шоссе (79)";"37.54227253";"55.8664487";"Коровинское шоссе";"Северный административный округ";"район Западное Дегунино";"А194; А591";"Селигерская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076508";"{type=Point, coordinates=[37.54227253, 55.8664487]}";
"80";"«К/т Комсомолец», Дмитровское шоссе (80)";"37.57003659";"55.84090834";"Дмитровское шоссе";"Северный административный округ";"Тимирязевский район";"А114; А194; А215; А466; А677; АМ10";"К/т Комсомолец";"";"да";"ГУП «Мосгортранс»";"активна";"889076509";"{type=Point, coordinates=[37.57003659, 55.84090834]}";
"81";"«Педагогический колледж», Большая Академическая улица (81)";"37.55288338";"55.84201028";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А114; А123; А179; А204; А282; А461; Тб57; А591; А87; АТ19";"Педагогический колледж";"";"да";"ГУП «Мосгортранс»";"активна";"889076510";"{type=Point, coordinates=[37.55288338, 55.84201028]}";
"82";"«Университет Природообустройства», Большая Академическая улица (82)";"37.54470218";"55.83894722";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А114; А179; А204; А282; А461; Тб57; А591; АТ19";"Университет Природообустройства";"";"да";"ГУП «Мосгортранс»";"активна";"889076511";"{type=Point, coordinates=[37.54470218, 55.83894722]}";
"83";"«Роддом № 27», Большая Академическая улица (83)";"37.53038275";"55.8289194";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А179; А204; А282; А461; Тб57; А591; АТ19";"Роддом № 27";"";"да";"ГУП «Мосгортранс»";"активна";"889076512";"{type=Point, coordinates=[37.53038275, 55.8289194]}";
"84";"«Роддом № 27», Большая Академическая улица (84)";"37.53085818";"55.82911305";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А179; А204; А282; А461; Тб57; А591; АТ19";"Роддом № 27";"";"да";"ГУП «Мосгортранс»";"активна";"889076513";"{type=Point, coordinates=[37.53085818, 55.82911305]}";
"85";"«Университет Природообустройства», Большая Академическая улица (85)";"37.54499163";"55.83864991";"Большая Академическая улица";"Северный административный округ";"Тимирязевский район";"А114; А179; А204; А282; А461; Тб57; А591; АТ19";"Университет Природообустройства";"";"да";"ГУП «Мосгортранс»";"активна";"889076514";"{type=Point, coordinates=[37.54499163, 55.83864991]}";
"86";"«Педагогический колледж», Большая Академическая улица (86)";"37.5546848";"55.84225467";"Большая Академическая улица";"Северный административный округ";"Тимирязевский район";"А114; А123; А179; А204; А282; А461; Тб57; А591; А87; АТ19";"Педагогический колледж";"";"да";"ГУП «Мосгортранс»";"активна";"889076515";"{type=Point, coordinates=[37.5546848, 55.84225467]}";
"87";"«Метро Петровско-Разумовская», улица Линии Октябрьской Железной Дороги (87)";"37.5755751";"55.83730911";"улица Линии Октябрьской Железной Дороги";"Северный административный округ";"Тимирязевский район";"А194; А215";"Метро Петровско-Разумовская";"";"да";"ГУП «Мосгортранс»";"активна";"889076516";"{type=Point, coordinates=[37.5755751, 55.83730911]}";
"91";"«Метро Селигерская», Коровинское шоссе (91)";"37.54477895";"55.86556347";"Коровинское шоссе";"Северный административный округ";"Бескудниковский район";"А191; А194; А215К; А591; А656; А672; АТ56";"Метро Селигерская";"";"да";"ГУП «Мосгортранс»";"активна";"889076517";"{type=Point, coordinates=[37.54477895, 55.86556347]}";
"92";"«Селигерская ул.», Коровинское шоссе (92)";"37.54054356";"55.86754868";"Коровинское шоссе";"Северный административный округ";"Бескудниковский район";"А191; А194; А215К; А591; А656; А672; АТ56";"Селигерская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076518";"{type=Point, coordinates=[37.54054356, 55.86754868]}";
"93";"«Ин-т Микрохирургии глаза», Коровинское шоссе (93)";"37.53539092";"55.86998419";"Коровинское шоссе";"Северный административный округ";"Бескудниковский район";"А191; А194; А215К; А591; А656; А672; АТ56";"Ин-т Микрохирургии глаза";"";"да";"ГУП «Мосгортранс»";"активна";"889076519";"{type=Point, coordinates=[37.53539092, 55.86998419]}";
"94";"«Колледж № 7», Клязьминская улица (94)";"37.51853547";"55.88351247";"Клязьминская улица";"Северный административный округ";"Дмитровский район";"А191; А194; А352; А571; А665";"Колледж № 7";"";"да";"ГУП «Мосгортранс»";"активна";"889076520";"{type=Point, coordinates=[37.51853547, 55.88351247]}";
"95";"«Ангарская ул.», Ангарская улица (95)";"37.5202723";"55.87759056";"Ангарская улица";"Северный административный округ";"район Западное Дегунино";"А191; А270; А352; А571; А591; А665; А928";"Ангарская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076521";"{type=Point, coordinates=[37.5202723, 55.87759056]}";
"96";"«Мкр. Западное Дегунино», Ангарская улица (96)";"37.51697285";"55.87600214";"Ангарская улица";"Северный административный округ";"район Западное Дегунино";"А191; А270; А352; А571; А591; А665; А928";"Мкр. Западное Дегунино";"";"да";"ГУП «Мосгортранс»";"активна";"889076522";"{type=Point, coordinates=[37.51697285, 55.87600214]}";
"97";"«Весенняя ул.», Ангарская улица (97)";"37.51498184";"55.87432548";"Ангарская улица";"Северный административный округ";"район Западное Дегунино";"А191; А270; А352; А571; А591; А665; А928";"Весенняя ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076523";"{type=Point, coordinates=[37.51498184, 55.87432548]}";
"98";"«Ст. Ховрино», Путейская улица (98)";"37.51076263";"55.86996961";"Путейская улица";"Северный административный округ";"район Западное Дегунино";"А154; А191; А215; А215К; А270; А352; А571; А591; А665; А748; А928";"Ст. Ховрино";"";"нет";"";"активна";"889076524";"{type=Point, coordinates=[37.51076263, 55.86996961]}";
"99";"«Онкологический диспансер», Старопетровский проезд (99)";"37.50259018";"55.82324046";"Старопетровский проезд";"Северный административный округ";"Войковский район";"А114; А621; А888; А90";"Онкологический диспансер";"";"да";"ГУП «Мосгортранс»";"активна";"889076525";"{type=Point, coordinates=[37.50259018, 55.82324046]}";
"100";"«Старопетровский пр.», Старопетровский проезд (100)";"37.50872434";"55.82466889";"Старопетровский проезд";"Северный административный округ";"Войковский район";"А114; А621; А888; А90";"Старопетровский пр.";"";"да";"ГУП «Мосгортранс»";"активна";"889076526";"{type=Point, coordinates=[37.50872434, 55.82466889]}";
"101";"«Ф-ка игрушек», улица Клары Цеткин (101)";"37.51170757";"55.82979654";"улица Клары Цеткин";"Северный административный округ";"район Коптево";"А621; А90";"Ф-ка игрушек";"";"да";"ГУП «Мосгортранс»";"активна";"889076527";"{type=Point, coordinates=[37.51170757, 55.82979654]}";
"103";"«Диспансер», Михалковская улица (103)";"37.50611432";"55.83722166";"Михалковская улица";"Северный административный округ";"район Коптево";"А123; А565; А621; А90";"Диспансер";"";"да";"ГУП «Мосгортранс»";"активна";"889076528";"{type=Point, coordinates=[37.50611432, 55.83722166]}";
"104";"«Электромеханический колледж», Михалковская улица (104)";"37.51312248";"55.83772474";"Михалковская улица";"Северный административный округ";"район Коптево";"А123; А565; А621; А90";"Электромеханический колледж";"";"да";"ГУП «Мосгортранс»";"активна";"889076529";"{type=Point, coordinates=[37.51312248, 55.83772474]}";
"105";"«Ф-ка им. Петра Алексеева», Михалковская улица (105)";"37.51644356";"55.8395005";"Михалковская улица";"Северный административный округ";"район Коптево";"А123; А565; А621; А90";"Ф-ка им. Петра Алексеева";"";"да";"ГУП «Мосгортранс»";"активна";"889076530";"{type=Point, coordinates=[37.51644356, 55.8395005]}";
"106";"«Ст. Коптево», Михалковская улица (106)";"37.51935117";"55.84121915";"Михалковская улица";"Северный административный округ";"район Коптево";"А123; А565; А621; А90";"Ст. Коптево";"";"да";"ГУП «Мосгортранс»";"активна";"889076531";"{type=Point, coordinates=[37.51935117, 55.84121915]}";
"107";"«Онежская ул. - Колледж», Онежская улица (107)";"37.52181196";"55.84540799";"Онежская улица";"Северный административный округ";"Головинский район";"А123; А139; А22; А565; А595; А621; А72; А801; А888; А90";"Онежская ул. - Колледж";"";"да";"ГУП «Мосгортранс»";"активна";"889076532";"{type=Point, coordinates=[37.52181196, 55.84540799]}";
"108";"«3-й Лихачевский пер.», Онежская улица (108)";"37.52077371";"55.84940542";"Онежская улица";"Северный административный округ";"Головинский район";"А139; А565; А595; А621; А72; А801; А888; А90";"3-й Лихачевский пер.";"";"да";"ГУП «Мосгортранс»";"активна";"889076533";"{type=Point, coordinates=[37.52077371, 55.84940542]}";
"109";"«Онежская ул., 19», Онежская улица (109)";"37.5192826";"55.85217697";"Онежская улица";"Северный административный округ";"Головинский район";"А139; А565; А595; А621; А72; А801; А888; А90";"Онежская ул., 19";"";"да";"ГУП «Мосгортранс»";"активна";"889076534";"{type=Point, coordinates=[37.5192826, 55.85217697]}";
"110";"«Солнечногорская ул.», Онежская улица (110)";"37.51306166";"55.85651928";"Онежская улица";"Северный административный округ";"Головинский район";"А621; А65; А65К; А801; А90";"Солнечногорская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076535";"{type=Point, coordinates=[37.51306166, 55.85651928]}";
"111";"«Флотская ул.», Онежская улица (111)";"37.50880466";"55.85959686";"Онежская улица";"Северный административный округ";"Головинский район";"А500; А65; А65К; А801; А90";"Флотская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076536";"{type=Point, coordinates=[37.50880466, 55.85959686]}";
"112";"«Фестивальная ул.», Петрозаводская улица (112)";"37.50413371";"55.86302215";"Петрозаводская улица";"Северный административный округ";"район Ховрино";"А233; А594; А801; А90";"Фестивальная ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076537";"{type=Point, coordinates=[37.50413371, 55.86302215]}";
"113";"«М-н Книги», Петрозаводская улица (113)";"37.50026617";"55.86474198";"Петрозаводская улица";"Северный административный округ";"район Ховрино";"А233; А594; А801; А90";"М-н Книги";"";"да";"ГУП «Мосгортранс»";"активна";"889076538";"{type=Point, coordinates=[37.50026617, 55.86474198]}";
"114";"«Аптека», Петрозаводская улица (114)";"37.49690351";"55.86590354";"Петрозаводская улица";"Северный административный округ";"район Ховрино";"А233; А594; А801; А90";"Аптека";"";"да";"ГУП «Мосгортранс»";"активна";"889076539";"{type=Point, coordinates=[37.49690351, 55.86590354]}";
"115";"«Петрозаводская ул.», Петрозаводская улица (115)";"37.49047802";"55.86710975";"Петрозаводская улица";"Северный административный округ";"район Ховрино";"Тб58; А801; А90";"Петрозаводская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076540";"{type=Point, coordinates=[37.49047802, 55.86710975]}";
"116";"«15-й таксомоторный парк», Беломорская улица (116)";"37.4835904385";"55.8670126721";"Беломорская улица";"Северный административный округ";"район Ховрино";"Тб58; А90";"15-й таксомоторный парк";"";"да";"ГУП «Мосгортранс»";"активна";"889076541";"{type=Point, coordinates=[37.4835904385, 55.8670126721]}";
"117";"«Экономический университет», Смольная улица (117)";"37.47723461";"55.86516218";"Смольная улица";"Северный административный округ";"район Левобережный";"А173; А199; А270; А338; А400; Тб58; А739; А851; А90";"Экономический университет";"";"да";"ГУП «Мосгортранс»";"активна";"889076542";"{type=Point, coordinates=[37.47723461, 55.86516218]}";
"118";"«Смольная ул., 45», Смольная улица (118)";"37.47967752";"55.86286328";"Смольная улица";"Северный административный округ";"район Левобережный";"А173; А199; А270; А338; Тб58; А739; А851; А90";"Смольная ул., 45";"";"да";"ГУП «Мосгортранс»";"активна";"889076543";"{type=Point, coordinates=[37.47967752, 55.86286328]}";
"119";"«Школа им. Марш. Говорова», Смольная улица (119)";"37.48150745";"55.86127796";"Смольная улица";"Северный административный округ";"район Левобережный";"А173; А199; А270; А338; Тб58; А739; А851; А90";"Школа им. Марш. Говорова";"";"да";"ГУП «Мосгортранс»";"активна";"889076544";"{type=Point, coordinates=[37.48150745, 55.86127796]}";
"120";"«Смольная ул.», Фестивальная улица (120)";"37.48466984";"55.8581037";"Фестивальная улица";"Северный административный округ";"район Левобережный";"А138; А173; А188; А199; А200; А233; А270; А284; А338; А451; А559; Тб58; А739; А745; А801; А851; А857; А90";"Смольная ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076545";"{type=Point, coordinates=[37.48466984, 55.8581037]}";
"121";"«Автокомбинат № 3», улица Линии Октябрьской Железной Дороги (121)";"37.56315646";"55.84366117";"улица Линии Октябрьской Железной Дороги";"Северный административный округ";"Тимирязевский район";"А114; А123; А204; А282; А461; АТ19";"Автокомбинат № 3";"";"нет";"";"активна";"889076546";"{type=Point, coordinates=[37.56315646, 55.84366117]}";
